title,date,location
Public Meeting | Capital Investment Plan (Northern Middlesex / Merrimack Valley),"May 26, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Capital Investment Plan (Central Mass / Montachusett),"May 27, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Fare Rules (Virtual),"May 27, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Capital Investment Plan (Boston Region),"June 1, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting on Accessibility and Daniels-Finegold v. MBTA Settlement Update,"June 2, 2021, 1:00 PM","Virtual, Boston, MA"
Public Meeting | Capital Investment Plan (Southeastern Mass / Old Colony),"June 2, 2021, 6:00 PM","Virtual, Boston, MA"
Fiscal and Management Control Board Meeting,"June 7, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Bus Network Redesign Public Meeting,"June 8, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Summer 2021 Service Changes (Virtual),"June 10, 2021, 6:00 PM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"June 21, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Public Meeting | Green Line Transformation (GLT) E Branch Track and Intersection Upgrades (Virtual),"July 14, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | MassDOT Finance and Audit Subcommittee,"July 21, 2021, 9:30 AM","Virtual, Boston, MA"
Public Meeting | MassDOT Capital Programs Subcommittee,"July 21, 2021, 10:30 AM","Virtual, Boston, MA"
Public Meeting | MassDOT Board of Directors,"July 26, 2021, 12:00 PM","Virtual, Boston, MA"
Public Meeting | Fall 2021 Service Changes (Virtual),"August 5, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Better Bus Project Open House (Virtual),"August 26, 2021, 6:00 PM","Virtual, Boston, MA"
Silver Line Extension Alternatives Analysis Working Group Meeting #3,"September 14, 2021, 2:00 PM","Virtual, Boston, MA"
Silver Line Extension Alternatives Analysis Public Meeting #2,"September 28, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Bus Accessibility Demo of the Quantum Mobility Device Securement System,"October 6, 2021, 11:00 AM","City Hall Plaza, Boston, MA"
Public Meeting | MA Commission for the Blind and MBTA Town Hall (Virtual),"October 7, 2021, 12:00 PM","Virtual, Boston, MA"
Community Engagement | Better Bus Project Street Team (Harvard Square),"October 12, 2021, 10:00 AM","Harvard Square Station, Cambridge, MA"
Community Engagement | Better Bus Project Street Team (Forest Hills),"October 12, 2021, 4:30 PM","Forest Hills Station, Jamaica Plain, MA"
Community Engagement | Better Bus Project Street Team (Haymarket),"October 13, 2021, 10:00 AM","Haymarket Station, Boston, MA"
Community Engagement | Better Bus Project Street Team (Ashmont),"October 13, 2021, 2:30 PM","Ashmont Station, Boston, MA"
Public Meeting | Newton Commuter Rail Stations Accessibility Improvements (Virtual),"October 13, 2021, 6:00 PM","Virtual, Boston, MA"
Community Engagement | Better Bus Project Street Team (Forest Hills),"October 14, 2021, 10:00 AM","Forest Hills Station, Jamaica Plain, MA"
Public Meeting | Bus Accessibility Demo of the Quantum Mobility Device Securement System,"October 14, 2021, 11:00 AM","Upper level, Ruggles station, Roxbury, MA"
Community Engagement | Better Bus Project Street Team (Haymarket),"October 14, 2021, 3:00 PM","Haymarket Station, Boston, MA"
Community Engagement | Better Bus Project Street Team (Ashmont),"October 18, 2021, 10:00 AM","Ashmont Station, Boston, MA"
Community Engagement | Better Bus Project Street Team (Sullivan Square),"October 18, 2021, 3:00 PM","Sullivan Square Station, Charlestown, MA"
Community Engagement | Better Bus Project Street Team (Nubian Square),"October 19, 2021, 10:00 AM","Nubian Square Station, Roxbury, MA"
Community Engagement | Better Bus Project Street Team (Maverick),"October 20, 2021, 10:00 AM","Maverick Station, East Boston, MA"
